t_sta_info,t_sta_spec,t_sta_ad,t_sta_dat,t_sta_age
노거목 - 정자목,은행나무 (ginkgo biloba),가양동 146-65,1988-04-25,436.0
노거목 - 풍치목,은행나무 (ginkgo biloba),개화동 458 등 4필지,1981-10-27,258.0
노거목 - 풍치목,은행나무 (ginkgo biloba),개화동 458 등 4필지,1981-10-27,258.0
노거목 - 풍치목,은행나무 (Ginkgo biloba L.),천왕동 198-1,1981-10-27,343.0
노거목 - 명목,측백나무 (Thuja orientalis L.),가리봉동 13-175,2004-12-27,520.0
노거목 - 풍치목,은행나무 (Ginkgo biloba),시흥동 1000-124,1968-07-03,886.0
노거목 - 풍치목,은행나무 (Ginkgo biloba),시흥동 1000-100,1968-07-03,886.0
노거목 - 풍치목,은행나무 (Ginkgo biloba),시흥동 836-33,1968-07-03,886.0
노거목 - 풍치목,향나무 (Juniperus chinensis L.),시흥동 230-40,1969-05-12,580.0
노거목 - 정자목,느티나무 (Zelkova serrata MAKINO),시흥동 234,1998-04-18,526.0
노거목 - 정자목,느티나무 (Zelkova serrata MAKINO),시흥동 234,1998-04-18,526.0
노거목 - 정자목,은행나무 (Ginkgo biloba L.),당산동6가 10-7,1968-07-03,586.0
노거목 - 정자목,은행나무 (Ginkgo biloba L.),사당4동 281-1,1968-07-03,391.0
노거목 - 정자목,은행나무 (Ginkgo biloba L.),사당4동 713-2,1968-07-03,391.0
노거목 - 정자목,느티나무 (Ginkgo biloba L.),사당4동 708-1152,1981-10-27,368.0
노거목 - 정자목,느티나무 (Ginkgo biloba L.),상도동 103-2,1981-10-27,268.0
노거목 - 정자목,느티나무 (Ginkgo biloba L.),동작동 305(현충원 내),1985-10-02,354.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),신림동 697-40,1974-04-20,420.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),염곡동 56-3,1968-07-03,586.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),염곡동 56-3,1968-07-03,586.0
노거목 - 풍치목,향나무 (Juniperus chinensis L.),서초동 1748-7,1968-07-03,886.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),방배동 970-32,1968-07-03,486.0
노거목 - 정자목,회화나무 (Sophora japonica L.),우면동 650-11,1972-10-12,377.0
노거목 - 정자목,은행나무 (Ginkgo biloba L.),반포동 535-32,1972-10-12,377.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),반포동 12,1981-10-27,358.0
노거목 - 정자목,굴참나무 (Quercus variabilis Blume),원지동 419-7,1972-10-12,277.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),잠원동 49-35,1981-10-27,258.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),내곡동 92-1,1981-10-27,308.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),내곡동 92-1,1981-10-27,308.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),방배동 906-15,1981-10-27,308.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),방배동 906-16,1981-10-27,308.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),방배동 906-16,1981-10-27,308.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),방배동 906-16,1981-10-27,308.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),방배동 906-16,1981-10-27,308.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),방배동 906-16,1981-10-27,308.0
노거목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),잠원동 120-1,1968-07-03,186.0
노거목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),잠원동 120-1,1968-07-03,186.0
