번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
50,서울특별시,성북구,서울특별시 성북구청,서8-2,1968-07-03,,노목,느릅나무과,Zelkova serrata,느티나무,1,380,21,3.6,22.7,마을나무,임야,35,공공,서울특별시 성북구 아리랑로19길 116,서울특별시 성북구 정릉동 508,37.60122767,127.0066768,2020-03-11
51,서울특별시,성북구,서울특별시 성북구청,서8-3,1968-07-03,,노목,느릅나무과,Zelkova serrata,느티나무,1,380,16,3.3,20,마을나무,임야,35,공공,서울특별시 성북구 아리랑로19길 116,서울특별시 성북구 정릉동 508,37.60122767,127.0066768,2020-03-11
52,서울특별시,성북구,서울특별시 성북구청,서8-4,1968-07-03,,노목,느릅나무과,Zelkova serrata,느티나무,1,390,10,2.4,13.9,마을나무,대,6,공공,서울특별시 성북구 아리랑로5길 95,서울특별시 성북구 돈암동 산 85-97,37.59834057,127.0110204,2020-03-11
53,서울특별시,성북구,서울특별시 성북구청,서8-5,1981-10-27,,노목,느릅나무과,Zelkova serrata,느티나무,1,305,12,3.2,19.5,마을나무,대,70,공공,서울특별시 성북구 선잠로5길 68,서울특별시 성북구 성북동 323,37.59910861,126.9946506,2020-03-11
54,서울특별시,성북구,서울특별시 성북구청,서8-6,1981-10-27,,노목,느릅나무과,Zelkova serrata,느티나무,1,205,12,2.5,16.2,마을나무,대,55,공공,서울특별시 성북구 선잠로5길 68,서울특별시 성북구 성북동 323,37.59910861,126.9946506,2020-03-11
55,서울특별시,성북구,서울특별시 성북구청,서8-7,1981-10-27,,노목,느릅나무과,Zelkova serrata,느티나무,1,205,17,3.2,19.5,마을나무,임야,30,공공,서울특별시 성북구 아리랑로19길 116,서울특별시 성북구 정릉동 508,37.60122767,127.0066768,2020-03-11
56,서울특별시,성북구,서울특별시 성북구청,서8-8,2004-12-27,,노목,측백나무과,Juniperus chinensis Linnaeus,향나무,1,240,10,2.4,10,마을나무,대,6,공공,,서울특별시 성북구 장위동 223-33,37.615998,127.046144,2020-03-11
57,서울특별시,동작구,서울특별시 동작구청,서20-1,1968-07-03,,노목,은행나무과,Ginkgo biloba,은행나무,1,336,16,3.3,22,시·군나무,대,,개인,서울특별시 동작구 사당로14나길 2,서울특별시 동작구 사당4동 281-1,37.4816752,126.970019,2020-03-31
58,서울특별시,동작구,서울특별시 동작구청,서20-2,1968-07-03,,노목,은행나무과,Ginkgo biloba,은행나무,1,336,29,5.8,33,시·군나무,대,,공공,,서울특별시 동작구 사당4동 713-2,37.480934,126.968452,2020-03-31
59,서울특별시,동작구,서울특별시 동작구청,서20-3,1981-10-27,,노목,느릅나무과,Zelkova serrata,느티나무,1,326,15,2.5,23,시·군나무,도로,,공공,,서울특별시 동작구 사당4동 708-1152,37.481495,126.970168,2020-03-31
60,서울특별시,동작구,서울특별시 동작구청,서20-4,1981-10-27,,노목,느릅나무과,Zelkova serrata,느티나무,1,226,16,2.7,22,면나무,대,,개인,서울특별시 동작구 서달로 4,서울특별시 동작구 상도동 103-2,37.495014,126.961232,2020-03-31
