번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
19,부산광역시,북구,부산광역시 북구청,2-8-2-2,1980-12-08,,노목,느릅나무과,Celtis biondii Pamp,폭나무,1,237,7,3.5,,면나무,도로,2086,공공,,부산광역시 북구 금곡동 1916,37.3515916,127.1069357,2024-07-18
20,부산광역시,북구,부산광역시 북구청,2-8-3-0-2,1980-12-08,,노목,느릅나무과,Zelkove serrata,느티나무,2,187,20,3.4,,마을나무,공원,10178,공공,,부산광역시 북구 화명동 2279,35.23291743,129.0081371,2024-07-18
21,부산광역시,북구,부산광역시 북구청,2-8-3-0-2,1980-12-08,,노목,느릅나무과,Celtis sinensis,팽나무,2,187,20,3.4,,마을나무,공원,10178,공공,,부산광역시 북구 화명동 2279,35.23291743,129.0081371,2024-07-18
22,부산광역시,북구,부산광역시 북구청,2-8-1-0,1980-12-08,,노목,콩과,Sophora japonica,회화나무,1,437,13,3,,시·군나무,공원,10178,공공,,부산광역시 북구 화명동 2279,35.23291743,129.0081371,2024-07-18
23,부산광역시,북구,부산광역시 북구청,2-8-1-0,1980-12-08,,노목,느릅나무과,Zelkove serrata,느티나무,1,437,13,3,,시·군나무,공원,10178,공공,,부산광역시 북구 화명동 2279,35.23291743,129.0081371,2024-07-18
24,부산광역시,부산진구,부산시설관리공단,2-5-3-3-1,2013-09-17,,거목+희귀목,쌍떡잎식물 녹나무목 녹나무과,Cinnamomum camphora,녹나무,1,120,15,3.6,6,도나무,공원,104673,공공,,부산광역시 부산진구 범전동 100,35.166978,129.059698,2023-03-23
25,부산광역시,부산진구,부산광역시 부산진구청,2-3,1980-12-08,,거목,쌍떡잎식물 쐐기풀목 느릅나무과,Aphananthe aspera PLANCH.,푸조나무,7,500,18,3.5,7,도나무,종교용지,506,공공,,부산광역시 부산진구 초읍동 395,35.182250,129.054620,2023-03-23
26,부산광역시,사하구,부산광역시사하구청,2-8,1988-12-08,,노목,콩과,Sophora japonica L.,회화나무,1,621,20,6.2,18,시·군나무,도로,881,공공,부산광역시 사하구 낙동대로244번길 9,부산광역시 사하구 괴정동 1247-35,35.099901,128.9902187,2024-02-22
27,부산광역시,사하구,부산광역시사하구청,2-9,1993-10-12,,노목,콩과,Sophora japonica L.,회화나무,1,651,20,6.5,25,시·군나무,도로,223,공공,,부산광역시 사하구 괴정동 1244-5,35.099588,128.990675,2024-02-22
28,부산광역시,사하구,부산광역시사하구청,2-10-1-0-2,1980-12-08,,노목,느릅나무과,Celtis sinensis Pers.,팽나무,1,101,10,3,11,마을나무,대,76,공공,,부산광역시 사하구 괴정동 206-10,35.106642,129.003496,2024-02-22
29,부산광역시,사하구,부산광역시사하구청,2-10-2-0-1,1982-10-11,,노목,느릅나무과,Celtis sinensis Pers.,팽나무,1,201,20,2.5,21,마을나무,대,150.1,공공,부산광역시 사하구 제석로 50 (당리동),부산광역시 사하구 당리동 316-1,35.10504486,128.9741359,2024-02-22
