번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
106,제주특별자치도,제주시,제주특별자치도,13-3-1-13-2,1982-10-22,,노목+거목,,,푸조나무,1,110,10,260,,마을나무,임야,제주특별자치도,공공,,제주특별자치도 제주시 한림읍 협재리 1549(협재리 1560-1 옆),33.3973043,126.246298,2024-07-24
107,제주특별자치도,제주시,제주특별자치도,13-6,1982-10-22,,노목+거목,,,팽나무,1,900,5,500,,도나무,대,변승택,개인,,제주특별자치도 제주시 애월읍 상가리 1666,33.4500494,126.341583,2024-07-24
108,제주특별자치도,제주시,제주특별자치도,13-3-1,1982-10-22,,노목+거목,,,팽나무,1,450,16,510,,시·군나무,도로,제주특별자치도,공공,,제주특별자치도 제주시 애월읍 유수암리 2017-3(유수암리 1981 앞),33.4432170,126.400439,2024-07-24
109,제주특별자치도,제주시,제주특별자치도,13-3-2,1982-10-22,,노목+거목,,,센달나무,1,410,11,500,,시·군나무,임야,상가리,단체,,제주특별자치도 제주시 애월읍 상가리 1211,33.4487239,126.344938,2024-07-24
110,제주특별자치도,제주시,제주특별자치도,13-3-4,1982-10-22,,노목+거목,,,팽나무,1,310,9,300,,시·군나무,도로,국(건설부),공공,,제주특별자치도 제주시 애월읍 하가리 1633(하가리 1475 앞),33.4555153,126.348823,2024-07-24
111,제주특별자치도,제주시,제주특별자치도,13-3-2-1,1982-10-22,,노목+거목,,,귤,1,250,9,80,,마을나무,대,강영진,개인,,제주특별자치도 제주시 애월읍 하가리 956-1,33.4584553,126.350705,2024-07-24
112,제주특별자치도,제주시,제주특별자치도,13-3-2-2,1982-10-22,,노목+거목,,,팽나무,1,260,12,370,,마을나무,대,이명자,개인,,제주특별자치도 제주시 애월읍 광령리 1165-1,33.4588972,126.439204,2024-07-24
113,제주특별자치도,제주시,제주특별자치도,13-3-2-6-3,1982-10-22,,노목+거목,,,후박나무,1,110,9,320,,마을나무,도로,납읍리,단체,,제주특별자치도 제주시 애월읍 납읍리 2247-4(납읍리 2247-2 앞),33.4382729,126.327832,2024-07-24
114,제주특별자치도,제주시,제주특별자치도,13-3-2-9-13,1982-10-22,,노목+거목,,,귤,1,150,9,80,,마을나무,대,강영진,개인,,제주특별자치도 제주시 애월읍 하가리 956-1,33.4584462,126.350694,2024-07-24
115,제주특별자치도,제주시,제주특별자치도,13-3-5,1982-10-22,,노목+거목,,,팽나무,1,350,12,500,,시·군나무,도로,국(건설부),공공,,제주특별자치도 제주시 구좌읍 김녕리 2121(김녕리 1901 옆),33.5488555,126.752593,2024-07-24
116,제주특별자치도,제주시,제주특별자치도,13-3-3-3,1982-10-22,,노목+거목,,,팽나무,1,220,6,200,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 구좌읍 김녕리 6194(김녕리 3629 앞),33.5550100,126.746535,2024-07-24
117,제주특별자치도,제주시,제주특별자치도,13-3-3-1-14,1982-10-22,,노목+거목,,,팽나무,1,160,6,200,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 구좌읍 동복리 1759(동복리 1533 앞),33.5530518,126.712847,2024-07-24
118,제주특별자치도,제주시,제주특별자치도,13-3-3-1-16,1982-10-22,,노목+거목,,,팽나무,1,110,7,100,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 구좌읍 동복리 1759(동복리 836-3 옆),33.5529486,126.715001,2024-07-24
119,제주특별자치도,제주시,제주특별자치도,13-3-3-2-18,1982-10-22,,노목+거목,,,팽나무,1,150,8,300,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 구좌읍 김녕리 6194(김녕리 3474 옆),33.5539940,126.743522,2024-07-24
120,제주특별자치도,제주시,제주특별자치도,13-3-3-2-19,1982-10-22,,노목+거목,,,팽나무,1,130,8,300,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 구좌읍 김녕리 2121(김녕리 1777 옆),33.5521446,126.751733,2024-07-24
121,제주특별자치도,제주시,제주특별자치도,13-3-3-8-20,1982-10-22,,노목+거목,,,팽나무,1,160,7,100,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 구좌읍 송당리 2774(송당리 540-3 인접),33.4843851,126.787876,2024-07-24
