t_ce_na,t_num,t_sdate,t_ty,t_fna,t_bna,t_tty,t_age,t_fr,t_gr,t_gr_num,t_rad,t_ad
서울특별시 송파구청,서24-6,1968-07-03,노목,느릅나무과,Zelkova serrata,느티나무,430,시·군나무,공원,,서울특별시 송파구 올림픽로 424,서울특별시 송파구 방이동 88-2
서울특별시 송파구청,서24-5,1968-07-03,노목,느릅나무과,Zelkova serrata,느티나무,430,시·군나무,공원,,서울특별시 송파구 올림픽로 424,서울특별시 송파구 방이동 88-2
서울특별시 송파구청,서24-4,1968-07-03,노목,느릅나무과,Zelkova serrata,느티나무,530,도나무,잡종지,,,서울특별시 송파구 문정동 28-9
서울특별시 송파구청,서24-3,1968-07-03,노목,느릅나무과,Zelkova serrata,느티나무,530,도나무,잡종지,,,서울특별시 송파구 문정동 29-7
서울특별시 송파구청,서24-2,1968-07-03,노목,은행나무과,Ginkgo biloba L,은행나무,530,도나무,공원,,서울특별시 송파구 올림픽로 424,서울특별시 송파구 방이동 88-3
서울특별시 송파구청,서24-1,1968-07-03,노목,측백나무과,Juniperus chinensis L,향나무,630,도나무,공원,,,서울특별시 송파구 거여동 293-2
서울특별시 서초구청,서22-1,1968-07-03,노목,Ulmaceae,Zelkova serrata,느티나무,619,시·군나무,공원,380.0,서울특별시 서초구 염곡안길 53,
서울특별시 서초구청,서22-2,1968-07-03,노목,Ulmaceae,Zelkova serrata,느티나무,619,시·군나무,공원,380.0,서울특별시 서초구 염곡안길 53,
서울특별시 서초구청,서22-3,1968-07-03,노목,Cupressaceae,Juniperus chinensis,향나무,882,시·군나무,도로,15176.0,서울특별시 서초구 서초동 1748-7,
서울특별시 서초구청,서22-4,1968-07-03,노목,Ulmaceae,Zelkova serrata,느티나무,452,시·군나무,대,207.0,서울특별시 서초구 도구로5길 4,
서울특별시 서초구청,서22-5,1972-10-12,노목,Fabaceae,Sophora japonica,회화나무,372,시·군나무,도로,106.0,서울특별시 서초구 우면동 650-11,
서울특별시 서초구청,서22-6,1972-10-12,노목,Ginkgoaceae,Ginkgo biloba,은행나무,392,시·군나무,전,488.0,서울특별시 서초구 반포동 535-32,
서울특별시 서초구청,서22-7,1981-10-27,노목,Ulmaceae,Zelkova serrata,느티나무,365,시·군나무,대,30441.0,서울특별시 서초구 신반포로 15길 5,
서울특별시 서초구청,서22-9,1972-10-12,노목,Fagaceae,Quercus variabilis Blume,굴참나무,273,시·군나무,공원,553.0,서울특별시 서초구 원지동 419-7,
서울특별시 서초구청,서22-11,1981-10-27,노목,Ulmaceae,Zelkova serrata,느티나무,254,시·군나무,도로,1463.0,서울특별시 서초구 잠원동49-35,
서울특별시 서초구청,서22-12,1981-10-27,노목,Ulmaceae,Zelkova serrata,느티나무,330,시·군나무,도로,9.0,서울특별시 서초구 내곡동 92-1,
서울특별시 서초구청,서22-13,1981-10-27,노목,Ulmaceae,Zelkova serrata,느티나무,330,시·군나무,도로,9.0,서울특별시 서초구 내곡동 92-1,
서울특별시 서초구청,서22-14,1981-10-27,노목,Ulmaceae,Zelkova serrata,느티나무,304,시·군나무,공원,342.0,서울특별시 서초구 방배동 906-15,
서울특별시 서초구청,서22-16,1981-10-27,노목,Ulmaceae,Zelkova serrata,느티나무,304,시·군나무,공원,342.0,서울특별시 서초구 방배동 906-15,
서울특별시 서초구청,서22-17,1981-10-27,노목,Ulmaceae,Zelkova serrata,느티나무,304,시·군나무,공원,342.0,서울특별시 서초구 방배동 906-15,
서울특별시 서초구청,서22-18,1981-10-27,노목,Ulmaceae,Zelkova serrata,느티나무,304,시·군나무,공원,342.0,서울특별시 서초구 방배동 906-15,
서울특별시 서초구청,서22-19,1981-10-27,노목,Ulmaceae,Zelkova serrata,느티나무,304,시·군나무,공원,342.0,서울특별시 서초구 방배동 906-15,
서울특별시 서초구청,서22-20,1981-10-27,노목,Ulmaceae,Zelkova serrata,느티나무,315,시·군나무,공원,342.0,서울특별시 서초구 방배동 906-15,
서울특별시 서초구청,서22-21,1968-07-03,노목,Ulmaceae,Zelkova serrata,느티나무,182,시·군나무,제방,2559.0,서울특별시 서초구 잠원동 120-1,
서울특별시 서초구청,서22-22,1968-07-03,노목,Ulmaceae,Zelkova serrata,느티나무,182,시·군나무,제방,2559.0,서울특별시 서초구 잠원동 120-1,
서울특별시 서초구청,서22-23,1968-07-03,노목,Ulmaceae,Zelkova serrata,느티나무,182,시·군나무,제방,2559.0,서울특별시 서초구 잠원동 120-1,
서울특별시 서초구청,서22-25,1968-07-03,노목,Ulmaceae,Zelkova serrata,느티나무,190,시·군나무,도로,50.0,서울특별시 서초구 신원동 194,
서울특별시 서초구청,서22-26,1968-07-03,노목,Ulmaceae,Zelkova serrata,느티나무,190,시·군나무,도로,50.0,서울특별시 서초구 신원동 194,
서울특별시 서초구청,서22-27,2000-12-20,노목,Ulmaceae,Zelkova serrata,느티나무,470,시·군나무,공원,1175.0,서울특별시 서초구 우면동 46-12,
서울특별시 서초구청,서22-28,2000-12-20,노목,Fabaceae,Sophora japonica,회화나무,240,시·군나무,도로,146.0,서울특별시 서초구 우면동 218-4,
서울특별시 용산구청,서3-1,1972-10-12,노목+거목,,,느티나무,630,시·군나무,임야,,서울특별시 용산구 효창원로8길 28,서울특별시 용산구 원효로4가 87-2
서울특별시 용산구청,서3-2,1981-10-27,노목+거목,,,느티나무,515,시·군나무,임야,,,서울특별시 용산구 한남동 541-1
서울특별시 용산구청,서3-3,1968-07-03,노목+거목,,,은행나무,430,시·군나무,임야,,서울특별시 용산구 서빙고로 75가길 23,서울특별시 용산구 동빙고동 65
서울특별시 용산구청,서3-4,1981-10-27,노목+거목,,,느티나무,315,시·군나무,임야,,서울특별시 용산구 효창원로8길 28,서울특별시 용산구 원효로4가 87-2
서울특별시 용산구청,서3-5,1981-10-27,노목+거목,,,은행나무,315,시·군나무,임야,,서울특별시 용산구 서빙고로 67,서울특별시 용산구 용산동5가 24-1
서울특별시 용산구청,서3-6,1998-04-25,노목+거목,,,느티나무,200,시·군나무,임야,,서울특별시 용산구 효창원로8길 28,서울특별시 용산구 원효로4가 87-2
서울특별시 용산구청,서3-7,1998-04-25,노목+거목,,,느티나무,200,시·군나무,임야,,서울특별시 용산구 효창원로8길 28,서울특별시 용산구 원효로4가 87-2
서울특별시 용산구청,서3-8,1998-04-25,노목+거목,,,느티나무,200,시·군나무,임야,,서울특별시 용산구 효창원로8길 28,서울특별시 용산구 원효로4가 87-2
서울특별시 용산구청,서3-9,1968-07-03,노목+거목,,,느티나무,230,시·군나무,임야,,,서울특별시 용산구 동빙고동 17
서울특별시 용산구청,서3-10,1998-04-25,노목+거목,,,비술나무,150,시·군나무,임야,,서울특별시 용산구 백범로 329,서울특별시 용산구 원효로1가 25
서울특별시 용산구청,서3-11,1998-04-25,노목+거목,,,비술나무,150,시·군나무,임야,,서울특별시 용산구 백범로 329,서울특별시 용산구 원효로1가 25
서울특별시 용산구청,서3-12,1981-10-27,노목+거목,,,은행나무,115,시·군나무,임야,,서울특별시 용산구 효창원로8길 16,서울특별시 용산구 원효로4가 128-1
서울특별시 용산구청,서3-13,1981-10-27,노목+거목,,,은행나무,115,시·군나무,임야,,서울특별시 용산구 효창원로8길 16,서울특별시 용산구 원효로4가 128-1
서울특별시 용산구청,서3-14,1981-10-27,노목+거목,,,은행나무,115,시·군나무,임야,,서울특별시 용산구 효창원로8길 16,서울특별시 용산구 원효로4가 128-1
서울특별시 용산구청,서3-15,1981-10-27,노목+거목,,,은행나무,115,시·군나무,임야,,서울특별시 용산구 효창원로8길 16,서울특별시 용산구 원효로4가 128-1
서울특별시 용산구청,서3-16,1981-10-27,노목+거목,,,은행나무,115,시·군나무,임야,,서울특별시 용산구 효창원로8길 16,서울특별시 용산구 원효로4가 128-1
서울특별시 용산구청,서3-17,1981-10-27,노목+거목,,,은행나무,135,시·군나무,임야,,,서울특별시 용산구 한강로2가 55-1
서울특별시 용산구청,서3-18,1981-10-27,노목+거목,,,은행나무,135,시·군나무,임야,,,서울특별시 용산구 한강로2가 55-1
서울특별시 용산구청,서3-19,1981-10-27,노목+거목,,,은행나무,135,시·군나무,임야,,,서울특별시 용산구 한강로2가 55-1
서울특별시중구청,서2-9,1972-10-12,노목,느릅나무과,zelkova serrata,느티나무,225,시·군나무,공원,,서울특별시 중구 남대문로5가 467,서울특별시 중구 남대문로 5가 467
서울특별시중구청,서2-10,1981-10-27,노목,콩과,sophora japonica,회화나무,165,시·군나무,도로,,서울특별시 중구 황학동 1163,서울특별시 중구 황학동 1163
